Number of Individual,Calendar Month,Latitude,Longitude
7359,2019-FEB,0,0
1,2019-FEB,25.936924,-80.211903
1,2019-FEB,27.748623,-97.390285
1,2019-FEB,29.412859,-98.422616
1,2019-FEB,29.474759,-98.536507
3,2019-FEB,30.328245,-89.228708
1,2019-FEB,32.712595,-117.075643
2,2019-FEB,32.755054,-117.013478
1,2019-FEB,32.798353,-117.232364
1,2019-FEB,32.869645,-97.296471
1,2019-FEB,32.877257,-117.237356
1,2019-FEB,32.999862,-96.889454
1,2019-FEB,33.018486,-97.038483
1,2019-FEB,33.171358,-96.73739
1,2019-FEB,33.409285,-112.2227
1,2019-FEB,33.494429,-84.329
2,2019-FEB,33.526282,-112.102715
4,2019-FEB,33.548813,-84.537753
1,2019-FEB,33.574439,-117.152301
1,2019-FEB,33.588224,-117.723133
1,2019-FEB,33.6508,-117.8459
1,2019-FEB,33.729223,-116.958384
1,2019-FEB,33.746574,-117.976914
2,2019-FEB,33.75069,-117.89205
1,2019-FEB,33.757863,-117.96514
3,2019-FEB,33.772967,-117.989746
1,2019-FEB,33.780299,-118.164557
1,2019-FEB,33.833677,-118.044434
1,2019-FEB,33.8399,-116.5358
1,2019-FEB,33.85436,-117.880646
1,2019-FEB,33.872697,-118.214018
3,2019-FEB,33.901673,-117.209708
1,2019-FEB,33.9175,-117.1569
1,2019-FEB,33.941063,-117.219129
1,2019-FEB,33.962593,-118.072688
4,2019-FEB,33.980125,-117.336107
1,2019-FEB,34.0018,-118.4317
2,2019-FEB,34.006347,-117.03914
1,2019-FEB,34.0093,-118.308771
1,2019-FEB,34.023524,-118.26306
1,2019-FEB,34.028532,-118.286125
2,2019-FEB,34.049493,-117.666188
1,2019-FEB,34.060287,-117.437113
1,2019-FEB,34.09352,-118.322448
1,2019-FEB,34.106309,-117.280158
1,2019-FEB,34.106663,-117.344924
1,2019-FEB,34.118695,-117.378222
1,2019-FEB,34.135723,-117.252613
1,2019-FEB,34.1669,-118.1241
1,2019-FEB,34.180824,-118.360201
1,2019-FEB,34.195237,-119.184095
1,2019-FEB,34.266047,-118.295827
1,2019-FEB,34.410975,-119.854018
1,2019-FEB,34.433554,-119.280618
1,2019-FEB,34.493759,-117.389043
1,2019-FEB,34.54734,-118.070129
3,2019-FEB,34.5586,-91.1314
1,2019-FEB,34.642477,-92.358975
1,2019-FEB,34.643795,-120.470678
1,2019-FEB,34.809473,-86.989002
1,2019-FEB,34.901174,-117.002681
1,2019-FEB,35.1204,-117.9618
2,2019-FEB,35.313038,-119.012718
3,2019-FEB,35.383704,-118.978402
2,2019-FEB,35.396078,-119.015419
1,2019-FEB,35.495094,-97.494288
3,2019-FEB,35.540646,-120.718394
1,2019-FEB,35.668023,-119.234318
2,2019-FEB,36.058969,-119.038641
1,2019-FEB,36.071473,-115.120829
1,2019-FEB,36.095018,-115.140089
3,2019-FEB,36.097703,-115.028326
1,2019-FEB,36.107331,-115.231039
3,2019-FEB,36.117603,-115.202616
1,2019-FEB,36.181289,-115.239156
2,2019-FEB,36.190495,-115.073891
1,2019-FEB,36.258461,-115.147093
1,2019-FEB,36.270925,-115.100222
1,2019-FEB,36.300697,-119.634114
1,2019-FEB,36.335735,-119.289194
1,2019-FEB,36.34691,-119.273416
1,2019-FEB,36.512988,-87.338507
1,2019-FEB,36.547241,-119.411186
1,2019-FEB,36.5933,-121.8763
1,2019-FEB,36.607043,-120.192892
1,2019-FEB,36.670776,-121.623603
1,2019-FEB,36.710269,-119.811244
1,2019-FEB,36.725817,-119.806749
1,2019-FEB,36.731882,-119.798526
5,2019-FEB,36.737005,-119.791173
2,2019-FEB,36.744899,-119.760648
3,2019-FEB,36.7535,-121.6661
2,2019-FEB,36.80136,-119.880279
1,2019-FEB,36.868051,-119.759406
1,2019-FEB,36.917701,-121.771499
1,2019-FEB,36.9251,-121.7723
2,2019-FEB,36.947092,-76.319823
1,2019-FEB,36.958532,-120.07517
5,2019-FEB,36.961412,-120.087801
1,2019-FEB,36.9642,-121.998328
1,2019-FEB,36.969358,-122.034043
1,2019-FEB,36.970684,-121.982936
1,2019-FEB,36.985134,-122.030357
1,2019-FEB,37.009299,-121.601964
1,2019-FEB,37.040299,-122.026602
2,2019-FEB,37.091882,-121.025261
1,2019-FEB,37.120275,-121.646941
1,2019-FEB,37.157277,-122.136015
1,2019-FEB,37.255333,-121.822747
2,2019-FEB,37.279597,-121.900996
1,2019-FEB,37.283953,-121.86596
